timestamp,u,v,name,current_speed,freeflow_speed,confidence,api_key_used
2025-09-24 10:41:40,31674707,31700906,Akin Adesola Street,45,53,0.987264,9YAX
2025-09-24 10:41:40,31674708,5902583245,Akin Adesola Street,45,53,0.987264,d6Dm
2025-09-24 10:41:40,31674711,36240967,Akin Adesola Street,45,53,0.987264,v1Ns
2025-09-24 10:41:40,31674712,168577454,Akin Adesola Street,45,53,0.987264,tOGs
2025-09-24 10:41:40,31674712,5588108884,Ahmadu Bello Way,33,45,0.999199,W5FR
2025-09-24 10:41:40,31700878,5109668001,Akin Adesola Street,43,57,1.0,ds8s
2025-09-24 10:41:40,31700906,1472131511,Akin Adesola Street,45,53,0.987264,HndD
2025-09-24 10:41:40,35723955,1235946207,Adeola Odeku Street,36,36,1.0,Nm7j
2025-09-24 10:41:40,35723960,35723963,Adeola Odeku Street,36,36,1.0,8yuW
2025-09-24 10:41:40,35723963,35723964,Adeola Odeku Street,36,36,1.0,9YAX
2025-09-24 10:41:40,35723964,1598718049,Adeola Odeku Street,36,36,1.0,d6Dm
2025-09-24 10:41:40,36240960,4742766612,Saka Tinubu Street,15,21,0.921259,v1Ns
2025-09-24 10:41:40,36240962,1235946208,Saka Tinubu Street,15,21,0.921259,tOGs
2025-09-24 10:41:40,36240962,95636908,Saka Tinubu Street,43,57,1.0,W5FR
2025-09-24 10:41:40,36240966,31674711,Akin Adesola Street,45,53,0.987264,ds8s
2025-09-24 10:41:40,36240967,95636908,Saka Tinubu Street,43,57,1.0,HndD
2025-09-24 10:41:40,36240967,31674708,Akin Adesola Street,45,53,0.987264,Nm7j
2025-09-24 10:41:40,36240972,4019886799,Ahmadu Bello Way,33,45,0.999199,8yuW
2025-09-24 10:41:40,95636900,35723955,Adeola Odeku Street,36,36,1.0,9YAX
2025-09-24 10:41:40,95636900,2339926113,Akin Adesola Street,30,35,0.965189,d6Dm
2025-09-24 10:41:40,95636908,36240967,Saka Tinubu Street,45,53,0.987264,v1Ns
2025-09-24 10:41:40,95636908,36240962,Saka Tinubu Street,15,21,0.921259,tOGs
2025-09-24 10:41:40,95636908,4708819230,Akin Adesola Street,43,57,1.0,W5FR
2025-09-24 10:41:40,95636982,168581819,Akin Adesola Street,43,57,1.0,ds8s
2025-09-24 10:41:40,95637019,31674712,Ahmadu Bello Way,45,53,0.987264,HndD
2025-09-24 10:41:40,168574117,5622523770,Ahmadu Bello Way,23,29,0.771634,Nm7j
2025-09-24 10:41:40,168577454,168581819,Ahmadu Bello Way,43,57,1.0,8yuW
2025-09-24 10:41:40,168577454,36240966,Akin Adesola Street,45,53,0.987264,9YAX
2025-09-24 10:41:40,168581819,95637019,Akin Adesola Street,43,57,1.0,d6Dm
2025-09-24 10:41:40,168581819,1598717904,Ahmadu Bello Way,35,45,0.995098,v1Ns
2025-09-24 10:41:40,168585503,1289576526,Ahmadu Bello Way,35,45,0.995098,tOGs
2025-09-24 10:41:40,1235946200,1598717989,Saka Tinubu Street,15,21,0.921259,W5FR
2025-09-24 10:41:40,1235946200,1235946208,Saka Tinubu Street,15,21,0.921259,ds8s
2025-09-24 10:41:40,1235946207,5246332238,Adeola Odeku Street,36,36,1.0,HndD
2025-09-24 10:41:40,1235946208,36240962,Saka Tinubu Street,15,21,0.921259,Nm7j
2025-09-24 10:41:40,1235946208,1235946200,Saka Tinubu Street,15,21,0.921259,8yuW
2025-09-24 10:41:40,1289576526,168577454,Ahmadu Bello Way,45,53,0.987264,9YAX
2025-09-24 10:41:40,1472121865,31700878,Akin Adesola Street,43,57,1.0,d6Dm
2025-09-24 10:41:40,1472131511,3684154039,Akin Adesola Street,45,53,0.987264,v1Ns
2025-09-24 10:41:40,1472142462,1472121865,Akin Adesola Street,43,57,1.0,tOGs
2025-09-24 10:41:40,1480437223,5246332227,Adeola Odeku Street,30,35,0.965189,W5FR
2025-09-24 10:41:40,1598717904,168574117,Ahmadu Bello Way,35,45,0.995098,ds8s
2025-09-24 10:41:40,1598717989,4742766612,Saka Tinubu Street,15,21,0.921259,HndD
2025-09-24 10:41:40,1598717989,1235946200,Saka Tinubu Street,15,21,0.921259,Nm7j
2025-09-24 10:41:40,1598718049,2339926122,Adeola Odeku Street,36,36,1.0,8yuW
2025-09-24 10:41:40,1652204774,6959043879,Ahmadu Bello Way,33,45,0.999199,9YAX
2025-09-24 10:41:40,2339926111,2339926113,Adeola Odeku Street,30,35,0.965189,d6Dm
2025-09-24 10:41:40,2339926113,31674708,Adeola Odeku Street,45,53,0.987264,v1Ns
2025-09-24 10:41:40,2339926113,95636908,Akin Adesola Street,43,57,1.0,tOGs
2025-09-24 10:41:40,2339926116,2339926111,Adeola Odeku Street,30,35,0.965189,W5FR
2025-09-24 10:41:40,2339926118,2339926116,Adeola Odeku Street,30,35,0.965189,ds8s
2025-09-24 10:41:40,2339926122,35723968,Adeola Odeku Street,27,27,1.0,HndD
2025-09-24 10:41:40,2339926123,2389029051,Adeola Odeku Street,29,29,1.0,Nm7j
2025-09-24 10:41:40,2339926125,2339926123,Adeola Odeku Street,36,36,1.0,8yuW
2025-09-24 10:41:40,2389029051,2339926118,Adeola Odeku Street,30,35,0.965189,9YAX
2025-09-24 10:41:40,4019886799,4707949582,Ahmadu Bello Way,33,45,0.999199,d6Dm
2025-09-24 10:41:40,4707949582,95637019,Ahmadu Bello Way,43,57,1.0,v1Ns
2025-09-24 10:41:40,4708819230,95636982,Akin Adesola Street,43,57,1.0,tOGs
2025-09-24 10:41:40,4742766612,36240960,Saka Tinubu Street,15,26,0.852328,W5FR
2025-09-24 10:41:40,4742766612,1598717989,Saka Tinubu Street,15,21,0.921259,ds8s
2025-09-24 10:41:40,5109667999,31674707,Akin Adesola Street,45,53,0.987264,HndD
2025-09-24 10:41:40,5109668001,95636900,Akin Adesola Street,36,36,1.0,Nm7j
2025-09-24 10:41:40,5246332227,2339926125,Adeola Odeku Street,30,35,0.965189,8yuW
2025-09-24 10:41:40,5246332238,35723960,Adeola Odeku Street,36,36,1.0,9YAX
2025-09-24 10:41:40,5588108884,31674715,Ahmadu Bello Way,33,45,0.999199,d6Dm
2025-09-24 10:41:40,5588108893,1652204774,Ahmadu Bello Way,33,45,0.999199,v1Ns
2025-09-24 10:41:40,5622523770,5196725569,Ahmadu Bello Way,35,45,0.995098,tOGs
2025-09-24 10:41:40,5902583245,95636900,Adeola Odeku Street,36,36,1.0,W5FR
2025-09-24 10:41:40,5902583245,5109667999,Akin Adesola Street,12,19,1.0,ds8s
2025-09-24 10:41:40,6959043879,36240972,Ahmadu Bello Way,23,29,0.771634,HndD
